Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.982 |Erro: 0.018 |a: 1.942 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.984 |Erro: 0.017 |a: 1.957 |b: 1.278 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
Melhor fitness:0.990 |Erro: 0.010 |a: 1.957 |b: 1.181 |
